"Ward","Street","Occupancy (%)","Bay Type","No. Bays"
"Abbey Road","Abbey Gardens",96.4,"Resident Bay","20"
"St. James's","Abbey Orchard Street",71.2,"Resident Bay","19"
"St. James's","Abbey Orchard Street",86,"Pay by Phone Bay","6"
"Abbey Road","Abercorn Place",31.2,"Shared Use Bay","17"
"Abbey Road","Abercorn Place",90,"Resident Bay","54"
"Abbey Road","Abercorn Place",75.5,"Pay by Phone Bay","3"
"Regent's Park","Aberdeen Place",85.4,"Resident Bay","49"
"Regent's Park","Aberdeen Place",NA,"Pay by Phone Bay",NA
"Church Street","Aberdeen Place",85.4,"Resident Bay","49"
"Church Street","Aberdeen Place",NA,"Pay by Phone Bay",NA
"Abbey Road","Acacia Place",59.1,"Resident Bay","4"
"Abbey Road","Acacia Road",51.2,"Pay by Phone Bay","6"
"Abbey Road","Acacia Road",77.7,"Resident Bay","49"
"St. James's","Adam Street",52.7,"Resident Bay","6"
"St. James's","Adam Street",68.9,"Pay by Phone Bay","11"
"West End","Adams Row",69.1,"Resident Bay","8"
"St. James's","Adelphi Terrace",52.7,"Pay by Phone Bay","6"
"Little Venice","Adpar Street",100,"Resident Bay","13"
"St. James's","Agar Street",86.4,"Pay by Phone Bay","2"
"St. James's","Agar Street",74.1,"Shared Use Bay","6"
"St. James's","Agar Street",90.7,"Resident Bay","3"
"West End","Albemarle Street",75.5,"Pay by Phone Bay","20"
"West End","Albemarle Street",59.7,"Resident Bay","26"
"Hyde Park","Albion Street",86.4,"Pay by Phone Bay","4"
"Hyde Park","Albion Street",83.2,"Resident Bay","47"
"Warwick","Alderney Street",75.4,"Shared Use Bay","15"
"Warwick","Alderney Street",61.8,"Pay by Phone Bay","5"
"Warwick","Alderney Street",67.5,"Resident Bay","123"
"West End","Aldford Street",73.6,"Pay by Phone Bay","8"
"West End","Aldford Street",72.1,"Resident Bay","21"
"Westbourne","Aldridge Road Villas",84.5,"Resident Bay","74"
"Westbourne","Aldridge Road Villas",86.4,"Pay by Phone Bay","4"
"Westbourne","Aldsworth Close",NA,"Resident Bay",NA
"Westbourne","Aldsworth Close",NA,"Shared Use Bay",NA
"St. James's","Aldwych",64.6,"Pay by Phone Bay","17"
"Bayswater","Alexander Street",88.5,"Resident Bay","19"
"Bayswater","Alexander Street",84.1,"Pay by Phone Bay","4"
"Westbourne","Alfred Road",90.9,"Pay by Phone Bay","4"
"Westbourne","Alfred Road",90.8,"Resident Bay","40"
"Regent's Park","Allitsen Road",85.3,"Resident Bay","84"
"Abbey Road","Allitsen Road",85.3,"Resident Bay","84"
"Regent's Park","Allsop Place",86.6,"Resident Bay","24"
"Regent's Park","Allsop Place",72.7,"Pay by Phone Bay","4"
"Abbey Road","Alma Square",75.4,"Resident Bay","49"
"Abbey Road","Alma Square",77,"Shared Use Bay","12"
"Queen's Park","Alperton Street",64.8,"Shared Use Bay","6"
"Queen's Park","Alperton Street",62,"Resident Bay","19"
"Regent's Park","Alpha Close",72.7,"Resident Bay","4"
"Westbourne","Amberley Road",83.6,"Pay by Phone Bay","5"
"Westbourne","Amberley Road",78.1,"Resident Bay","43"
"Vincent Square","Ambrosden Avenue",74.9,"Resident Bay","52"
"Vincent Square","Ambrosden Avenue",69.1,"Pay by Phone Bay","10"
"Maida Vale","Andover Place",89.5,"Resident Bay","26"
"Maida Vale","Andover Place",84.1,"Pay by Phone Bay","4"
"Abbey Road","Aquila Street",54.4,"Pay by Phone Bay","3"
"West End","Archer Street",86.4,"Resident Bay","2"
"St. James's","Arlington Street",54.5,"Pay by Phone Bay","4"
"St. James's","Arneway Street",69.1,"Shared Use Bay","5"
"Bayswater","Artesian Road",84.6,"Resident Bay","49"
"Bayswater","Artesian Road",76.1,"Shared Use Bay","7"
"Bayswater","Artesian Road",72.5,"Pay by Phone Bay","6"
"St. James's","Artillery Row",74.5,"Resident Bay","5"
"Vincent Square","Artillery Row",83.6,"Shared Use Bay","5"
"Vincent Square","Artillery Row",74.5,"Resident Bay","5"
"St. James's","Arundel Street",59.3,"Pay by Phone Bay","7"
"Church Street","Ashbridge Street",90.9,"Pay by Phone Bay","2"
"Church Street","Ashbridge Street",82,"Resident Bay","40"
"Vincent Square","Ashley Place",79.5,"Resident Bay","4"
"Church Street","Ashmill Street",90.5,"Resident Bay","12"
"Harrow Road","Ashmore Road",67.3,"Resident Bay","234"
"Harrow Road","Ashmore Road",62.9,"Shared Use Bay","25"
"Harrow Road","Ashmore Road",56,"Pay by Phone Bay","9"
"Queen's Park","Ashmore Road",56,"Pay by Phone Bay","9"
"Queen's Park","Ashmore Road",67.3,"Resident Bay","234"
"Queen's Park","Ashmore Road",62.9,"Shared Use Bay","25"
"Maida Vale","Ashworth Road",67.5,"Resident Bay","76"
"Maida Vale","Ashworth Road",72.7,"Pay by Phone Bay","5"
"Vincent Square","Atterbury Street",27.6,"Shared Use Bay","41"
"West End","Audley Square",NA,"Resident Bay",NA
"Marylebone High Street","Aybrook Street",48.1,"Resident Bay","27"
"Marylebone High Street","Aybrook Street",42,"Pay by Phone Bay","3"
"Tachbrook","Aylesford Street",80.4,"Pay by Phone Bay","8"
"Tachbrook","Aylesford Street",82.6,"Resident Bay","74"
"Bryanston and Dorset Square","Baker Street",32.7,"Pay by Phone Bay","5"
"Bryanston and Dorset Square","Baker Street",36.4,"Resident Bay","1"
"Marylebone High Street","Baker Street",32.7,"Pay by Phone Bay","5"
"Marylebone High Street","Baker Street",36.4,"Resident Bay","1"
"Marylebone High Street","Bakers Mews",65.5,"Resident Bay","5"
"Bryanston and Dorset Square","Balcombe Street",77.3,"Pay by Phone Bay","10"
"Bryanston and Dorset Square","Balcombe Street",NA,"Shared Use Bay",NA
"Bryanston and Dorset Square","Balcombe Street",79.1,"Resident Bay","69"
"West End","Balderton Street",18.2,"Pay by Phone Bay","2"
"West End","Balderton Street",46.3,"Resident Bay","7"
"West End","Balfour Mews",77.5,"Resident Bay","7"
"West End","Balfour Place",90.5,"Resident Bay","6"
"West End","Balfour Place",56.8,"Pay by Phone Bay","4"
"Queen's Park","Barfett Street",49.6,"Resident Bay","35"
"Queen's Park","Barfett Street",58.9,"Shared Use Bay","6"
"Lancaster Gate","Bark Place",79.9,"Resident Bay","13"
"Lancaster Gate","Bark Place",77.3,"Pay by Phone Bay","4"
"Harrow Road","Barnsdale Road",60.8,"Resident Bay","42"
"Westbourne","Barnwood Close",NA,"Shared Use Bay",NA
"Westbourne","Barnwood Close",NA,"Resident Bay",NA
"Marylebone High Street","Barrett Street",80,"Pay by Phone Bay","5"
"Marylebone High Street","Barrett Street",54.5,"Resident Bay","1"
"Regent's Park","Barrow Hill Road",90.9,"Pay by Phone Bay","1"
"Regent's Park","Barrow Hill Road",80.3,"Resident Bay","7"
"West End","Bateman Street",81.8,"Resident Bay","1"
"Hyde Park","Bathurst Street",93.8,"Pay by Phone Bay","3"
"Hyde Park","Bathurst Street",97.5,"Resident Bay","8"
"Marylebone High Street","Beaumont Mews",0,"Resident Bay","3"
"Marylebone High Street","Beaumont Street",67.3,"Pay by Phone Bay","10"
"Marylebone High Street","Beaumont Street",72.2,"Shared Use Bay","32"
"Marylebone High Street","Beaumont Street",90.9,"Resident Bay","10"
"St. James's","Bedford Court",72.5,"Resident Bay","3"
"St. James's","Bedford Street",59.4,"Resident Bay","16"
"St. James's","Bedford Street",57.2,"Pay by Phone Bay","6"
"St. James's","Bedfordbury",84.8,"Resident Bay","3"
"St. James's","Beeston Place",71,"Pay by Phone Bay","7"
"Queen's Park","Beethoven Street",80,"Resident Bay","50"
"Queen's Park","Beethoven Street",52.7,"Pay by Phone Bay","6"
"Queen's Park","Beethoven Street",60,"Shared Use Bay","10"
"Abbey Road","Belgrave Gardens",94.5,"Resident Bay","34"
"Abbey Road","Belgrave Gardens",84.6,"Pay by Phone Bay","6"
"Knightsbridge and Belgravia","Belgrave Place",35.4,"Pay by Phone Bay","18"
"Knightsbridge and Belgravia","Belgrave Place",51.7,"Resident Bay","26"
"Knightsbridge and Belgravia","Belgrave Place",21.8,"Shared Use Bay","5"
"Warwick","Belgrave Road",71.6,"Shared Use Bay","64"
"Warwick","Belgrave Road",78,"Resident Bay","39"
"Warwick","Belgrave Road",52.1,"Pay by Phone Bay","8"
"Tachbrook","Belgrave Road",52.1,"Pay by Phone Bay","8"
"Tachbrook","Belgrave Road",78,"Resident Bay","39"
"Tachbrook","Belgrave Road",71.6,"Shared Use Bay","64"
"Knightsbridge and Belgravia","Belgrave Square",47.5,"Resident Bay","92"
"Knightsbridge and Belgravia","Belgrave Square",24.7,"Shared Use Bay","101"
"Church Street","Bell Street",84.1,"Resident Bay","19"
"Church Street","Bell Street",72.4,"Pay by Phone Bay","23"
"Church Street","Bendall Mews",100,"Resident Bay","1"
"St. James's","Bennet Street",NA,"Resident Bay",NA
"Marylebone High Street","Bentinck Mews",61.8,"Resident Bay","5"
"Marylebone High Street","Bentinck Street",65.5,"Resident Bay","20"
"Marylebone High Street","Bentinck Street",57.5,"Pay by Phone Bay","3"
"Bryanston and Dorset Square","Berkeley Mews",49.1,"Resident Bay","5"
"West End","Berkeley Square",58.7,"Pay by Phone Bay","8"
"West End","Berkeley Street",79.7,"Pay by Phone Bay","22"
"West End","Berners Mews",18.2,"Resident Bay","1"
"West End","Berners Street",32.7,"Resident Bay","11"
"West End","Berners Street",69.5,"Pay by Phone Bay","15"
"West End","Berners Street",68.1,"Shared Use Bay","17"
"Church Street","Bernhardt Crescent",51.8,"Resident Bay","10"
"Church Street","Bernhardt Crescent",36.4,"Shared Use Bay","4"
"West End","Berwick Street",75.9,"Pay by Phone Bay","8"
"West End","Berwick Street",80,"Resident Bay","5"
"Bryanston and Dorset Square","Bickenhall Street",83.5,"Resident Bay","37"
"Maida Vale","Biddulph Road",68.5,"Resident Bay","71"
"Marylebone High Street","Bingham Place",36.4,"Pay by Phone Bay","5"
"Marylebone High Street","Bingham Place",91.2,"Resident Bay","11"
"West End","Binney Street",79,"Resident Bay","15"
"West End","Binney Street",69.6,"Pay by Phone Bay","3"
"West End","Blackburnes Mews",NA,"Resident Bay",NA
"Marylebone High Street","Blandford Street",75.5,"Pay by Phone Bay","12"
"Marylebone High Street","Blandford Street",56.3,"Resident Bay","41"
"Marylebone High Street","Blandford Street",79,"Shared Use Bay","15"
"Church Street","Bledlow Close",NA,"Resident Bay",NA
"Church Street","Bledlow Close",NA,"Shared Use Bay",NA
"Abbey Road","Blenheim Road",73.5,"Resident Bay","37"
"Abbey Road","Blenheim Road",77.3,"Pay by Phone Bay","2"
"Abbey Road","Blenheim Road",82.1,"Shared Use Bay","11"
"Abbey Road","Blenheim Terrace",89.5,"Resident Bay","25"
"Abbey Road","Blenheim Terrace",88.6,"Pay by Phone Bay","4"
"Little Venice","Blomfield Road",81.3,"Resident Bay","42"
"Little Venice","Blomfield Road",65,"Shared Use Bay","16"
"Little Venice","Blomfield Road",75.5,"Pay by Phone Bay","3"
"Westbourne","Blomfield Villas",78,"Resident Bay","42"
"Westbourne","Blomfield Villas",57,"Pay by Phone Bay","3"
"Vincent Square","Bloomburg Street",78.6,"Pay by Phone Bay","3"
"Churchill","Bloomfield Terrace",72.5,"Pay by Phone Bay","3"
"Churchill","Bloomfield Terrace",80.3,"Shared Use Bay","7"
"Churchill","Bloomfield Terrace",84.2,"Resident Bay","38"
"Marylebone High Street","Bolsover Street",71.5,"Resident Bay","43"
"Marylebone High Street","Bolsover Street",65.5,"Shared Use Bay","5"
"Marylebone High Street","Bolsover Street",60,"Pay by Phone Bay","5"
"West End","Bolton Street",27.3,"Pay by Phone Bay","2"
"West End","Bolton Street",43,"Resident Bay","8"
"Church Street","Boscobel Street",90.7,"Pay by Phone Bay","3"
"Church Street","Boscobel Street",79.1,"Shared Use Bay","10"
"Bryanston and Dorset Square","Boston Place",41.5,"Resident Bay","49"
"Bryanston and Dorset Square","Boston Place",54.5,"Pay by Phone Bay","5"
"Abbey Road","Boundary Road",55.4,"Pay by Phone Bay","8"
"Abbey Road","Boundary Road",82.5,"Resident Bay","70"
"West End","Bourdon Place",NA,"Resident Bay",NA
"West End","Bourdon Street",61.5,"Resident Bay","11"
"Knightsbridge and Belgravia","Bourne Street",78.1,"Resident Bay","35"
"Knightsbridge and Belgravia","Bourne Street",74.5,"Pay by Phone Bay","5"
"Knightsbridge and Belgravia","Bourne Street",77,"Shared Use Bay","8"
"Churchill","Bourne Street",74.5,"Pay by Phone Bay","5"
"Churchill","Bourne Street",78.1,"Resident Bay","35"
"Westbourne","Bourne Terrace",89.5,"Resident Bay","93"
"Westbourne","Bourne Terrace",96.4,"Pay by Phone Bay","5"
"Hyde Park","Bouverie Place",79.5,"Resident Bay","4"
"Hyde Park","Bouverie Place",90.9,"Pay by Phone Bay","2"
"St. James's","Bow Street",9.1,"Resident Bay","4"
"Westbourne","Braden Street",89.1,"Resident Bay","5"
"Harrow Road","Bradiston Road",75.9,"Resident Bay","33"
"Queen's Park","Bravington Road",68.2,"Shared Use Bay","37"
"Queen's Park","Bravington Road",70.2,"Resident Bay","178"
"Queen's Park","Bravington Road",NA,"Pay by Phone Bay",NA
"Knightsbridge and Belgravia","Bremner Road",51.2,"Resident Bay","6"
"West End","Brewer Street",24,"Resident Bay","9"
"West End","Brick Street",83,"Resident Bay","6"
"Marylebone High Street","Bridford Mews",63.6,"Resident Bay","1"
"Warwick","Bridge Place",50.9,"Pay by Phone Bay","5"
"Regent's Park","Bridgeman Street",87.1,"Resident Bay","14"
"Regent's Park","Bridgeman Street",90.9,"Pay by Phone Bay","4"
"Bayswater","Bridstow Place",100,"Resident Bay","12"
"Little Venice","Bristol Gardens",67,"Pay by Phone Bay","7"
"Little Venice","Bristol Gardens",61.4,"Resident Bay","20"
"Church Street","Broadley Street",73.4,"Resident Bay","49"
"Church Street","Broadley Street",69.5,"Pay by Phone Bay","6"
"Bryanston and Dorset Square","Broadley Terrace",84.7,"Resident Bay","24"
"Marylebone High Street","Broadstone Place",100,"Resident Bay","2"
"Marylebone High Street","Broadstone Place",81.8,"Pay by Phone Bay","2"
"St. James's","Broadway",81.8,"Pay by Phone Bay","2"
"West End","Broadwick Street",84.6,"Pay by Phone Bay","3"
"West End","Broadwick Street",99.9,"Resident Bay","3"
"Knightsbridge and Belgravia","Brompton Road",NA,"Pay by Phone Bay",NA
"Lancaster Gate","Brook Mews North",NA,"Pay by Phone Bay",NA
"Hyde Park","Brook Street",25,"Resident Bay","4"
"West End","Brook Street",34.9,"Pay by Phone Bay","33"
"West End","Brook Street",25,"Resident Bay","4"
"West End","Brooks Mews",23.4,"Resident Bay","13"
"West End","Brooks Mews",40.9,"Pay by Phone Bay","4"
"West End","Brown Hart Gardens",57.3,"Resident Bay","33"
"West End","Brown Hart Gardens",50,"Pay by Phone Bay","2"
"Bryanston and Dorset Square","Brown Street",88.9,"Resident Bay","14"
"Bryanston and Dorset Square","Brown Street",83.9,"Pay by Phone Bay","8"
"Queen's Park","Bruckner Street",80.2,"Shared Use Bay","7"
"Queen's Park","Bruckner Street",77.8,"Resident Bay","28"
"West End","Bruton Street",79.5,"Pay by Phone Bay","14"
"Bryanston and Dorset Square","Bryanston Mews East",87.6,"Resident Bay","3"
"Bryanston and Dorset Square","Bryanston Mews West",95.3,"Resident Bay","8"
"Bryanston and Dorset Square","Bryanston Place",93.3,"Resident Bay","7"
"Bryanston and Dorset Square","Bryanston Place",80,"Pay by Phone Bay","5"
"Bryanston and Dorset Square","Bryanston Square",67,"Resident Bay","47"
"Bryanston and Dorset Square","Bryanston Square",47.7,"Shared Use Bay","20"
"Bryanston and Dorset Square","Bryanston Street",0,"Pay by Phone Bay","15"
"Bryanston and Dorset Square","Bryanston Street",80,"Shared Use Bay","5"
"Bryanston and Dorset Square","Bryanston Street",30.2,"Resident Bay","3"
"St. James's","Buckingham Gate",66.5,"Pay by Phone Bay","3"
"St. James's","Buckingham Gate",63.6,"Resident Bay","1"
"Warwick","Buckingham Palace Road",76.4,"Pay by Phone Bay","5"
"St. James's","Buckingham Place",77,"Resident Bay","12"
"St. James's","Buckingham Place",100,"Pay by Phone Bay","1"
"St. James's","Buckingham Street",100,"Resident Bay","3"
"St. James's","Buckingham Street",93.2,"Pay by Phone Bay","4"
"Vincent Square","Bulinga Street",84.6,"Resident Bay","3"
"Warwick","Bulleid Way",20,"Pay by Phone Bay","25"
"Marylebone High Street","Bulstrode Street",42.2,"Pay by Phone Bay","6"
"Marylebone High Street","Bulstrode Street",77.5,"Resident Bay","16"
"St. James's","Burleigh Street",86.4,"Pay by Phone Bay","4"
"West End","Burlington Gardens",59.2,"Resident Bay","11"
"Hyde Park","Burwood Place",100,"Resident Bay","2"
"Hyde Park","Burwood Place",78.5,"Pay by Phone Bay","3"
"St. James's","Bury Street",80.7,"Resident Bay","12"
"St. James's","Bury Street",75,"Pay by Phone Bay","4"
"Bryanston and Dorset Square","Cabbell Street",67,"Resident Bay","38"
"Queen's Park","Caird Street",56.6,"Resident Bay","17"
"Queen's Park","Caird Street",NA,"Pay by Phone Bay",NA
"Hyde Park","Cambridge Square",54.2,"Resident Bay","57"
"Warwick","Cambridge Street",30.9,"Pay by Phone Bay","5"
"Warwick","Cambridge Street",71.3,"Resident Bay","155"
"West End","Candover Street",97.4,"Resident Bay","7"
"Church Street","Capland Street",80.6,"Resident Bay","29"
"Church Street","Capland Street",90.7,"Shared Use Bay","3"
"Marylebone High Street","Carburton Street",77.5,"Resident Bay","16"
"St. James's","Carey Street",24.4,"Resident Bay","7"
"St. James's","Carey Street",NA,"Shared Use Bay",NA
"Vincent Square","Carlisle Place",83.2,"Resident Bay","69"
"Vincent Square","Carlisle Place",70.5,"Pay by Phone Bay","4"
"West End","Carlisle Street",63.6,"Resident Bay","5"
"St. James's","Carlton Gardens",35.5,"Shared Use Bay","10"
"Abbey Road","Carlton Hill",75.8,"Resident Bay","97"
"Abbey Road","Carlton Hill",68.3,"Shared Use Bay","22"
"Abbey Road","Carlton Hill",50.3,"Pay by Phone Bay","14"
"St. James's","Carlton House Terrace",51.8,"Resident Bay","15"
"St. James's","Carlton House Terrace",59.5,"Shared Use Bay","51"
"Maida Vale","Carlton Vale",77.2,"Resident Bay","57"
"Lancaster Gate","Caroline Place",100,"Pay by Phone Bay","2"
"Lancaster Gate","Caroline Place",96.4,"Resident Bay","10"
"Knightsbridge and Belgravia","Caroline Terrace",60.5,"Resident Bay","34"
"St. James's","Carteret Street",0,"Resident Bay","5"
"Church Street","Casey Close",89.5,"Resident Bay","32"
"Church Street","Casey Close",90.9,"Shared Use Bay","2"
"Little Venice","Castellain Road",73,"Resident Bay","177"
"Little Venice","Castellain Road",60,"Shared Use Bay","42"
"Maida Vale","Castellain Road",73,"Resident Bay","177"
"Maida Vale","Castellain Road",60,"Shared Use Bay","42"
"St. James's","Castle Lane",55,"Resident Bay","20"
"St. James's","Catherine Place",58.9,"Resident Bay","32"
"St. James's","Catherine Place",84.6,"Pay by Phone Bay","3"
"St. James's","Catherine Street",75.4,"Pay by Phone Bay","9"
"Vincent Square","Causton Street",66.9,"Resident Bay","15"
"Vincent Square","Causton Street",83.2,"Pay by Phone Bay","6"
"Vincent Square","Causton Street Private Section",NA,"Shared Use Bay",NA
"Regent's Park","Cavendish Avenue",88.4,"Resident Bay","36"
"Regent's Park","Cavendish Avenue",84.6,"Pay by Phone Bay","3"
"West End","Cavendish Mews South",27.3,"Resident Bay","1"
"West End","Cavendish Square",18.3,"Resident Bay","18"
"Marylebone High Street","Cavendish Square",18.3,"Resident Bay","18"
"St. James's","Caxton Street",74.5,"Resident Bay","10"
"St. James's","Caxton Street",57.8,"Pay by Phone Bay","15"
"St. James's","Chadwick Street",NA,"Pay by Phone Bay",NA
"Bryanston and Dorset Square","Chagford Street",88.5,"Resident Bay","19"
"St. James's","Chancery Lane",63.5,"Pay by Phone Bay","3"
"St. James's","Chandos Place",86.4,"Pay by Phone Bay","2"
"St. James's","Chandos Place",95.5,"Resident Bay","16"
"West End","Chandos Street",63.7,"Resident Bay","19"
"West End","Chandos Street",59.2,"Shared Use Bay","9"
"Knightsbridge and Belgravia","Chapel Street",39.7,"Pay by Phone Bay","7"
"Knightsbridge and Belgravia","Chapel Street",58.5,"Resident Bay","30"
"Bryanston and Dorset Square","Chapel Street",72.6,"Shared Use Bay","8"
"Bryanston and Dorset Square","Chapel Street",39.7,"Pay by Phone Bay","7"
"Vincent Square","Chapter Street",69.3,"Pay by Phone Bay","6"
"Vincent Square","Chapter Street",85.6,"Resident Bay","14"
"St. James's","Charing Cross Road",NA,"Resident Bay",NA
"Regent's Park","Charlbert Street",83.6,"Pay by Phone Bay","10"
"Regent's Park","Charlbert Street",77.4,"Resident Bay","44"
"Abbey Road","Charlbert Street",83.6,"Pay by Phone Bay","10"
"Abbey Road","Charlbert Street",77.4,"Resident Bay","44"
"St. James's","Charles Ii Street",68,"Pay by Phone Bay","13"
"St. James's","Charles Ii Street",47.5,"Resident Bay","11"
"West End","Charles Street",77,"Resident Bay","29"
"West End","Charles Street",86.4,"Pay by Phone Bay","2"
"West End","Charlotte Street",84.6,"Resident Bay","6"
"Warwick","Charlwood Place",80.4,"Resident Bay","25"
"Warwick","Charlwood Street",58.8,"Pay by Phone Bay","18"
"Warwick","Charlwood Street",82.8,"Resident Bay","76"
"Tachbrook","Charlwood Street",58.8,"Pay by Phone Bay","18"
"Tachbrook","Charlwood Street",82.8,"Resident Bay","76"
"Lancaster Gate","Chepstow Place",78.5,"Resident Bay","46"
"Bayswater","Chepstow Place",78.5,"Resident Bay","46"
"Bayswater","Chepstow Road",76.5,"Resident Bay","30"
"Bayswater","Chepstow Road",57.5,"Pay by Phone Bay","3"
"Knightsbridge and Belgravia","Chesham Place",52.8,"Resident Bay","35"
"Knightsbridge and Belgravia","Chesham Street",64.1,"Resident Bay","18"
"Knightsbridge and Belgravia","Chester Mews",0,"Pay by Phone Bay","5"
"Knightsbridge and Belgravia","Chester Row",58.2,"Pay by Phone Bay","5"
"Knightsbridge and Belgravia","Chester Row",65.9,"Resident Bay","62"
"Knightsbridge and Belgravia","Chester Square",67,"Shared Use Bay","15"
"Knightsbridge and Belgravia","Chester Square",60.3,"Resident Bay","172"
"Knightsbridge and Belgravia","Chester Square",60,"Pay by Phone Bay","9"
"Knightsbridge and Belgravia","Chester Square Mews",NA,"Resident Bay",NA
"Knightsbridge and Belgravia","Chester Street",61.3,"Resident Bay","45"
"Knightsbridge and Belgravia","Chester Street",13.6,"Pay by Phone Bay","4"
"West End","Chesterfield Gardens",78.2,"Resident Bay","10"
"West End","Chesterfield Gardens",69.7,"Shared Use Bay","7"
"West End","Chesterfield Hill",80.1,"Resident Bay","22"
"West End","Chesterfield Street",88.2,"Resident Bay","12"
"Knightsbridge and Belgravia","Cheval Place",72.7,"Resident Bay","2"
"Westbourne","Chichester Road",74.5,"Resident Bay","25"
"Westbourne","Chichester Road",72.5,"Pay by Phone Bay","3"
"Tachbrook","Chichester Street",93.8,"Shared Use Bay","12"
"Tachbrook","Chichester Street",83.4,"Resident Bay","37"
"Marylebone High Street","Chiltern Street",77.3,"Pay by Phone Bay","2"
"Marylebone High Street","Chiltern Street",62.1,"Resident Bay","67"
"Lancaster Gate","Chilworth Street",84.9,"Resident Bay","8"
"Lancaster Gate","Chilworth Street",NA,"Pay by Phone Bay",NA
"Hyde Park","Chilworth Street",84.9,"Resident Bay","8"
"Hyde Park","Chilworth Street",NA,"Pay by Phone Bay",NA
"Harrow Road","Chippenham Road",81.5,"Pay by Phone Bay","15"
"Harrow Road","Chippenham Road",78,"Resident Bay","66"
"Little Venice","Church Street",76.7,"Resident Bay","22"
"Church Street","Church Street",57.7,"Pay by Phone Bay","16"
"Churchill","Churchill Gardens Estate",NA,"Resident Bay",NA
"Churchill","Churchill Gardens Estate",NA,"Pay by Phone Bay",NA
"Churchill","Churchill Gardens Road",NA,"Resident Bay",NA
"Churchill","Churchill Gardens Road",NA,"Shared Use Bay",NA
"Warwick","Churton Place",100,"Resident Bay","3"
"Warwick","Churton Street",72.7,"Pay by Phone Bay","5"
"Warwick","Churton Street",82.7,"Resident Bay","13"
"Warwick","Churton Street",74.5,"Shared Use Bay","5"
"Regent's Park","Circus Road",61.6,"Pay by Phone Bay","11"
"Regent's Park","Circus Road",75.2,"Resident Bay","21"
"Regent's Park","Circus Road",41.8,"Shared Use Bay","5"
"Abbey Road","Circus Road",61.6,"Pay by Phone Bay","11"
"Abbey Road","Circus Road",75.2,"Resident Bay","21"
"Abbey Road","Circus Road",41.8,"Shared Use Bay","5"
"Westbourne","Cirencester Street",98.5,"Pay by Phone Bay","6"
"Westbourne","Cirencester Street",90.9,"Resident Bay","2"
"Little Venice","Clarendon Gardens",95.5,"Pay by Phone Bay","2"
"Little Venice","Clarendon Gardens",82.4,"Resident Bay","51"
"Hyde Park","Clarendon Place",64.3,"Resident Bay","36"
"Churchill","Clarendon Street",71.5,"Resident Bay","77"
"Warwick","Clarendon Street",63.2,"Shared Use Bay","6"
"Warwick","Clarendon Street",71.5,"Resident Bay","77"
"Warwick","Clarendon Street",60,"Pay by Phone Bay","5"
"Little Venice","Clarendon Terrace",86.2,"Pay by Phone Bay","8"
"Little Venice","Clarendon Terrace",90.7,"Resident Bay","3"
"West End","Clarges Street",68.9,"Resident Bay","26"
"West End","Clarges Street",80,"Pay by Phone Bay","5"
"Churchill","Claverton Street",92.4,"Pay by Phone Bay","6"
"Churchill","Claverton Street",88.2,"Resident Bay","67"
"Tachbrook","Claverton Street",92.4,"Pay by Phone Bay","6"
"Tachbrook","Claverton Street",88.2,"Resident Bay","67"
"Marylebone High Street","Clay Street",100,"Resident Bay","3"
"Lancaster Gate","Cleveland Gardens",77.9,"Resident Bay","47"
"Lancaster Gate","Cleveland Gardens",NA,"Pay by Phone Bay",NA
"St. James's","Cleveland Row",21,"Resident Bay","3"
"St. James's","Cleveland Row",NA,"Pay by Phone Bay",NA
"Lancaster Gate","Cleveland Square",67.2,"Resident Bay","128"
"Lancaster Gate","Cleveland Square",59,"Pay by Phone Bay","9"
"Lancaster Gate","Cleveland Terrace",80.7,"Resident Bay","12"
"Hyde Park","Cleveland Terrace",80.7,"Resident Bay","12"
"Hyde Park","Cleveland Terrace",NA,"Pay by Phone Bay",NA
"West End","Clifford Street",85.5,"Pay by Phone Bay","5"
"West End","Clifford Street",61.8,"Resident Bay","5"
"Little Venice","Clifton Gardens",81.1,"Resident Bay","51"
"Little Venice","Clifton Gardens",66.6,"Pay by Phone Bay","8"
"Little Venice","Clifton Gardens",62.5,"Shared Use Bay","13"
"Abbey Road","Clifton Hill",81.5,"Resident Bay","106"
"Abbey Road","Clifton Hill",57.4,"Shared Use Bay","11"
"Abbey Road","Clifton Hill",69.4,"Pay by Phone Bay","3"
"Hyde Park","Clifton Place",86.1,"Resident Bay","9"
"Little Venice","Clifton Road",81.8,"Pay by Phone Bay","10"
"Little Venice","Clifton Villas",78.2,"Shared Use Bay","8"
"Little Venice","Clifton Villas",81.5,"Pay by Phone Bay","3"
"Little Venice","Clifton Villas",82.2,"Resident Bay","44"
"Marylebone High Street","Clipstone Mews",83.2,"Resident Bay","9"
"Marylebone High Street","Clipstone Street",41.1,"Pay by Phone Bay","7"
"Marylebone High Street","Clipstone Street",90.5,"Resident Bay","14"
"Knightsbridge and Belgravia","Cliveden Place",77,"Resident Bay","6"
"Knightsbridge and Belgravia","Cliveden Place",60.7,"Pay by Phone Bay","7"
"Regent's Park","Cochrane Street",59.5,"Shared Use Bay","7"
"Regent's Park","Cochrane Street",81.1,"Resident Bay","29"
"Regent's Park","Cochrane Street",NA,"Pay by Phone Bay",NA
"West End","Conduit Street",79.8,"Pay by Phone Bay","13"
"West End","Conduit Street",69.5,"Resident Bay","3"
